beta_true_labels,beta_mislabelled,bias
0.8721451767243381,0.7651106198460594,-0.10703455687827867
0.18201297398237484,-0.04365993531135898,-0.22567290929373382
0.3731710798626598,0.3078385153674239,-0.06533256449523589
0.457212233881953,0.4929309340996863,0.035718700217733323
0.6447892547478226,0.435887583329021,-0.20890167141880156
0.3514039702612154,0.4747581314344444,0.123354161173229
0.48215215470067135,0.1786328006349236,-0.30351935406574776
0.5422098364702895,0.5654908991704214,0.02328106270013186
0.5398847060487033,0.687655742297925,0.14777103624922172
0.2884393459491461,0.1456872776249181,-0.14275206832422802
0.9140141422198783,0.8917578798052175,-0.022256262414660832
0.3012938555776927,0.29477214420843395,-0.006521711369258776
0.4897166726142872,0.7196037589434522,0.229887086329165
0.4283546870803902,0.3402800972007869,-0.08807458987960332
0.6315416552948323,0.525302572189002,-0.1062390831058303
0.7163408844960535,0.5455107529997602,-0.17083013149629334
0.25679304190928104,0.2808194251037633,0.024026383194482248
0.34589089416488683,0.2952093139030793,-0.050681580261807524
0.4780978795925125,0.32683322400900017,-0.15126465558351232
0.5600439073948363,0.3730263708793614,-0.18701753651547492
0.3762264835819378,0.2619197466482942,-0.11430673693364357
0.2706234904427296,0.30604175794331195,0.03541826750058236
0.3767621508336362,0.2310749178393325,-0.14568723299430367
0.6034135609308967,0.6546304515907793,0.05121689065988255
0.7830298790748225,0.5956771714961765,-0.18735270757864597
0.6523246361419722,0.21478045513438393,-0.4375441810075883
0.3503200165943705,0.4331357188320255,0.082815702237655
-0.20975013329032027,-0.03849592478606523,0.17125420850425505
0.2718483920296033,0.2693315864983618,-0.002516805531241506
0.2566432492046049,0.46556689843664156,0.20892364923203666
0.3903821826872851,0.5053075088910313,0.11492532620374618
0.8197982948593794,0.6796132563611408,-0.1401850384982386
0.6889773064048376,0.5290140713607872,-0.1599632350440504
0.5112631491658186,0.47819056788879966,-0.03307258127701895
0.5212412892970066,0.0831788562139336,-0.438062433083073
0.6629341260660401,0.5230633614204978,-0.13987076464554227
0.4056435020380387,0.34610145568119777,-0.059542046356840905
0.3966044866504762,0.5112520811831938,0.11464759453271756
0.5122753314318962,0.48120924324585684,-0.031066088186039342
0.5454938366212911,0.2627518137944575,-0.28274202282683364
0.7135964471780945,0.6153458278946337,-0.0982506192834608
0.4177373847173905,0.4739951917920742,0.0562578070746837
0.7970572910704484,0.4516731890771343,-0.34538410199331415
0.45978980652205764,0.10348339123860958,-0.3563064152834481
0.5959812294798775,0.7414913845574113,0.14551015507753373
0.39944479950136336,0.40531240222369247,0.005867602722329113
0.3823696066625696,0.13162105023199758,-0.25074855643057203
0.13702939036989936,0.3743008186660032,0.23727142829610381
0.4272958122419681,0.3720285769865228,-0.0552672352554453
0.5232449654550115,0.29954395959746893,-0.2237010058575426
0.6101404061402291,0.6128029964727357,0.002662590332506598
0.8097434674808051,0.6158265620067426,-0.19391690547406248
0.22373251205180938,0.4129598355756664,0.18922732352385702
0.11402769041095322,0.29125275905402137,0.17722506864306814
0.8124413257076015,0.7396850819234458,-0.07275624378415568
0.4976735799932439,0.3322963822611881,-0.16537719773205584
0.3420324352941158,0.34957669178023576,0.007544256486119949
0.4424722631120806,0.3656773904397457,-0.07679487267233492
0.7361779508661634,0.754504900995078,0.01832695012891461
0.549581588227477,0.6885479815564806,0.1389663933290035
0.5726881247331781,0.6268838628557618,0.054195738122583714
0.6828762051485531,0.47068896220867923,-0.21218724293987384
0.6940784026805294,0.44897255953323095,-0.2451058431472985
0.5839717014134085,0.4518257668285134,-0.1321459345848951
0.31317199782512795,-0.025486791294387228,-0.3386587891195152
0.5751683764411603,0.49186168468695374,-0.08330669175420652
0.3133531131557278,-0.02005695283837878,-0.33341006599410655
0.1309906315599254,0.06956640662229588,-0.06142422493762953
0.5254975573843175,0.400702012703459,-0.12479554468085846
0.9582386759540988,0.7943371877606985,-0.16390148819340034
0.10059441439048573,0.17155774592042328,0.07096333152993754
0.6754873178626141,0.3274018161708465,-0.34808550169176755
0.5680139901988452,0.618032345679087,0.050018355480241805
0.4321053385632957,0.17759640349834938,-0.2545089350649463
0.5481617445659124,0.45227456693850543,-0.09588717762740695
0.667354109957015,0.11812455117506214,-0.5492295587819529
0.7477441831917664,0.6726973031292901,-0.07504688006247628
0.6668519058768226,0.547830066911868,-0.11902183896495466
0.44501873000894193,0.45004057509704665,0.005021845088104715
0.7865801826199486,0.3081749545181032,-0.4784052281018454
0.564698826599527,0.41457124914486254,-0.15012757745466443
0.4267676390021451,0.47741403781934233,0.050646398817197236
-0.06983374720179206,0.14114440195714395,0.210978149158936
0.263428111414741,0.26958359322853387,0.006155481813792885
0.31574628427551854,0.4064023984238385,0.09065611414831998
0.2965271246282499,0.42587094816101645,0.12934382353276652
0.6257726457825212,0.5977868101284426,-0.02798583565407864
0.3821828975665211,0.378910602083971,-0.0032722954825500916
0.43183338353937734,0.49875802539006364,0.0669246418506863
0.7296220860533138,0.6024343038486712,-0.12718778220464255
0.2566667882861508,0.3252622678551741,0.06859547956902329
0.3712979536728506,0.3270883977084753,-0.04420955596437531
0.5814075758532266,0.4893251182014804,-0.09208245765174616
0.49862189630050735,0.4129546198442962,-0.08566727645621114
0.6092295120966236,0.379722376713717,-0.22950713538290657
0.4599809415835285,0.37922950249338905,-0.08075143909013943
0.7280992923270602,0.5365544574222139,-0.1915448349048463
0.44418354815870736,0.620628814337061,0.1764452661783536
0.3647032189204811,0.42023595363904104,0.05553273471855996
0.5898839312738292,0.5985109439828659,0.008627012709036652
0.4432554404355282,0.34125522472581316,-0.10200021570971507
0.28321247316726406,0.22593862051523808,-0.057273852652025975
0.6377326760597337,0.5691675473338302,-0.06856512872590348
0.20074070985098846,0.2344809626154615,0.03374025276447304
0.46311133524791964,0.609380003461333,0.1462686682134134
0.578142764218536,0.47633149873888847,-0.10181126547964758
0.9595817026352991,0.8489507591549997,-0.11063094348029934
0.3848201269052168,0.394390073918234,0.009569947013017222
0.38746634120037227,0.47515338004256225,0.08768703884218998
0.5484099554580676,0.3947301054169129,-0.1536798500411547
0.555254748947472,0.5046148623641145,-0.050639886583357496
0.8679263742325606,0.5236639449979638,-0.3442624292345968
0.014010380985595886,0.09259982525059934,0.07858944426500346
0.46225102319964784,0.4766510021262653,0.014399978926617485
0.4322865212321456,0.350216195211094,-0.08207032602105163
0.4271828842294728,0.3657544555986959,-0.06142842863077691
0.5806661999796281,0.40991696602921257,-0.17074923395041552
0.6548998284410062,0.5576536783063696,-0.09724615013463667
0.5362705187222321,0.4292725983517173,-0.10699792037051475
0.447238769921676,0.30577418770248066,-0.14146458221919533
0.896853117843305,0.7665218338411453,-0.13033128400215976
0.9242125094969473,0.8717425089147519,-0.05247000058219542
0.3339228203124438,0.4648440934541851,0.1309212731417413
0.43790819184818136,0.18800555683502057,-0.2499026350131608
0.2533339133570265,0.2544550380620037,0.0011211247049772166
0.29953943026115465,0.5289155240896385,0.22937609382848384
0.7755895181552641,0.6528539256817127,-0.12273559247355137
0.40225258126736574,0.26542495960812024,-0.1368276216592455
0.6347334885473381,0.46726861494314864,-0.1674648736041895
0.5589205339514961,0.42430757726517254,-0.13461295668632356
0.41487605431604857,0.2014232154493154,-0.21345283886673316
0.47796357279964286,0.5608904930544828,0.08292692025483994
0.6346701117464385,0.44817327947318475,-0.18649683227325375
0.05770873950895722,0.2606459371492124,0.2029371976402552
0.5039186393889329,0.4084445559567045,-0.09547408343222841
0.595518312145587,0.7240385764707588,0.12852026432517172
0.6825180158561583,0.5387799500970485,-0.14373806575910986
-0.07716423429407096,0.18592114233999035,0.2630853766340613
0.34079419799357,0.163054905797041,-0.17773929219652904
0.5142394077229746,0.38839829810620424,-0.12584110961677036
0.7059208837048453,0.6549574050795925,-0.050963478625252745
0.34355967710807345,0.24370131334289302,-0.09985836376518042
0.5218123379595278,0.6195355742366129,0.09772323627708512
0.6441232492624831,0.35012637630855614,-0.29399687295392696
0.6763224499249606,0.6906003720645166,0.014277922139556032
0.27965822856249795,0.5866205100386683,0.3069622814761704
0.6608416839477982,0.3799811122341076,-0.2808605717136906
0.5026199176247547,0.35408258135772375,-0.14853733626703092
0.4010086910808966,0.7270658558856098,0.3260571648047132
0.5877057563408257,0.19830803137376354,-0.38939772496706215
0.6490595070485061,0.6447983632625447,-0.00426114378596143
0.6252699767475961,0.5861630949371957,-0.03910688181040045
0.4146946398278697,0.05173993041451445,-0.3629547094133552
0.533158797548181,0.2871981670811219,-0.24596063046705907
0.5958320467887499,0.7129165907048505,0.11708454391610057
