source,fund_name,stem,removed_tail,stranded_number,failure
CalPERS,"Genstar X Opportunities Fund I, L.P.",GENSTAR X OPPORTUNITIES FUND,I LP,X,CONSUMED+STRANDED
CalPERS,"Genstar XI Opportunities Fund I, L.P.",GENSTAR XI OPPORTUNITIES FUND,I LP,XI,CONSUMED+STRANDED
CalPERS,"Grain Communications Opportunity Fund IV-A, L.P.",GRAIN COMMUNICATIONS OPPORTUNITY FUND IV-A,LP,IV-A,STRANDED
CalPERS,Hg Genesis 10 A L.P.,HG GENESIS 10 A,LP,10,STRANDED
CalPERS,Hg Mercury 4 A L.P.,HG MERCURY 4 A,LP,4,STRANDED
CalPERS,Hg Saturn 3 A L.P.,HG SATURN 3 A,LP,3,STRANDED
CalPERS,"Insight Partners XII Buyout Annex Fund, L.P.",INSIGHT PARTNERS XII BUYOUT ANNEX FUND,LP,XII,STRANDED
CalPERS,"Insight Partners XIII Growth Buyout Fund, L.P.",INSIGHT PARTNERS XIII GROWTH BUYOUT FUND,LP,XIII,STRANDED
CalPERS,KKR Asian Fund IV SCSp,KKR ASIAN FUND IV SCSP,,IV,STRANDED
CalPERS,KKR European Fund V (USD) SCSp,KKR EUROPEAN FUND V (USD) SCSP,,V,STRANDED
CalPERS,KKR North America Fund XIII SCSp,KKR NORTH AMERICA FUND XIII SCSP,,XIII,STRANDED
CalPERS,"Lightspeed Venture Partners XIV-B (Ignite), L.P.",LIGHTSPEED VENTURE PARTNERS XIV-B (IGNITE),LP,XIV-B,STRANDED
CalPERS,"Lightspeed Venture Partners XV-B (Ignite), L.P.",LIGHTSPEED VENTURE PARTNERS XV-B (IGNITE),LP,XV-B,STRANDED
CalPERS,"Lightspeed Venture Partners XIV-A (Inception), L.P.",LIGHTSPEED VENTURE PARTNERS XIV-A (INCEPTION),LP,XIV-A,STRANDED
CalPERS,"Lightspeed Venture Partners XV-A (Inception), L.P.",LIGHTSPEED VENTURE PARTNERS XV-A (INCEPTION),LP,XV-A,STRANDED
CalPERS,"Mayfield Select III, a Delaware Limited Partnership",MAYFIELD SELECT III A DELAWARE LIMITED PARTNERSHIP,,III,STRANDED
CalPERS,"Mayfield XVII, a Delaware Limited Partnership",MAYFIELD XVII A DELAWARE LIMITED PARTNERSHIP,,XVII,STRANDED
CalPERS,Onex Partners V-B LP,ONEX PARTNERS V-B,LP,V-B,STRANDED
CalPERS,"Otro Capital Fund I-A, LP",OTRO CAPITAL FUND I-A,LP,I-A,STRANDED
CalPERS,Pantheon Global Secondary Fund VII Feeder (US) LP,PANTHEON GLOBAL SECONDARY FUND VII FEEDER (US),LP,VII,STRANDED
CalPERS,Permira IV L.P.2,PERMIRA IV LP2,,IV,STRANDED
CalPERS,Permira VI L.P. 1,PERMIRA VI LP,1,VI,STRANDED
CalPERS,Permira VII L.P.1,PERMIRA VII LP1,,VII,STRANDED
CalPERS,Permira VIII-2 SCSp,PERMIRA VIII-2 SCSP,,VIII-2,STRANDED
CalPERS,Permira Growth Opportunities I L.P. 1,PERMIRA GROWTH OPPORTUNITIES I LP,1,I,STRANDED
CalPERS,Permira Growth Opportunities II SCSP,PERMIRA GROWTH OPPORTUNITIES II SCSP,,II,STRANDED
CalPERS,"Prysm Capital Fund II-C, L.P.",PRYSM CAPITAL FUND II-C,LP,II-C,STRANDED
CalPERS,"SR One Capital Fund II-A, LP",SR ONE CAPITAL FUND II-A,LP,II-A,STRANDED
CalPERS,"Summit Partners Growth Equity Fund X-A, L.P.",SUMMIT PARTNERS GROWTH EQUITY FUND X-A,LP,X-A,STRANDED
CalPERS,"Summit Partners Growth Equity Fund XI-A, L.P.",SUMMIT PARTNERS GROWTH EQUITY FUND XI-A,LP,XI-A,STRANDED
CalPERS,"TA XIV-A, L.P.",TA XIV-A,LP,XIV-A,STRANDED
CalPERS,"TA XV-A, L.P.",TA XV-A,LP,XV-A,STRANDED
CalPERS,"TA Select Opportunities Fund II-A, L.P.",TA SELECT OPPORTUNITIES FUND II-A,LP,II-A,STRANDED
CalPERS,"TCP II Co-Invest B, L.P.",TCP II CO-INVEST B,LP,II,STRANDED
CalPERS,"Thrive Capital Partners IX Growth, L.P.",THRIVE CAPITAL PARTNERS IX GROWTH,LP,IX,STRANDED
CalPERS,"Thrive Capital Partners VIII Growth, L.P.",THRIVE CAPITAL PARTNERS VIII GROWTH,LP,VIII,STRANDED
CalPERS,"TowerBrook Investors IV (Onshore), L.P.",TOWERBROOK INVESTORS IV (ONSHORE),LP,IV,STRANDED
CalPERS,Towerbrook Investors V (Onshore) LP,TOWERBROOK INVESTORS V (ONSHORE),LP,V,STRANDED
CalPERS,"Towerbrook Investors VI (Onshore), L.P.",TOWERBROOK INVESTORS VI (ONSHORE),LP,VI,STRANDED
CalPERS,Towerbrook Structured Opportunities Fund II (Onshore) LP,TOWERBROOK STRUCTURED OPPORTUNITIES FUND II (ONSHORE),LP,II,STRANDED
CalPERS,"TPG Asia VIII (A), L.P.",TPG ASIA VIII (A),LP,VIII,STRANDED
CalPERS,Triton Fund 6 SCSp,TRITON FUND 6 SCSP,,6,STRANDED
CalPERS,Verdane Edda III (D1) AB,VERDANE EDDA III (D1) AB,,III,STRANDED
CalPERS,VIP V S.C.Sp.,VIP V SCSP,,V,STRANDED
CalPERS,"Vista Equity Partners Fund VII-Z, L.P.",VISTA EQUITY PARTNERS FUND VII-Z,LP,VII-Z,STRANDED
CalPERS,Wigmore Street BDC IV Co-Investment No.1 LP,WIGMORE STREET BDC IV CO-INVESTMENT NO1,LP,IV,STRANDED
CalPERS,Wigmore Street VI Co-Investment No. 1 LP,WIGMORE STREET VI CO-INVESTMENT NO,1 LP,VI,STRANDED
Oregon,Advent International GPE VI A,ADVENT INTERNATIONAL GPE VI A,,VI,STRANDED
Oregon,Advent International GPE VII C,ADVENT INTERNATIONAL GPE VII,C,VII,CONSUMED+STRANDED
