fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,135300000.0,168400000.0,33100000.0,2.2334217506631298,2.23,0.254,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,121700000.0,2800000.0,183000000.0,180200000.0,1.503697617091208,1.5,0.139,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,187700000.0,145500000.0,390500000.0,245000000.0,2.0804475226425145,2.08,0.359,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,63400000.0,3800000.0,80100000.0,76300000.0,1.2634069400630914,1.26,,True,False,False,Oregon PERS OPERF,2025-03-31
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,119600000.0,75000000.0,182000000.0,107000000.0,1.5217391304347827,1.52,0.10300000000000001,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,48400000.0,6800000.0,70000000.0,63200000.0,1.4462809917355373,1.45,0.096,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,68000000.0,0.0,84300000.0,84300000.0,1.2397058823529412,1.24,0.126,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,95500000.0,27800000.0,150000000.0,122200000.0,1.5706806282722514,1.57,0.139,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,208000000.0,7200000.0,2.08,2.08,0.163,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,81400000.0,86600000.0,5200000.0,1.8004158004158004,1.8,0.132,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,103500000.0,0.0,124300000.0,124300000.0,1.2009661835748793,1.2,,True,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,64800000.0,127000000.0,62200000.0,1.819484240687679,1.82,0.131,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,100900000.0,22500000.0,120100000.0,97600000.0,1.1902874132804757,1.19,0.079,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::AEP IV OPERF Co-Investments,AEP IV OPERF Co-Investments,2018,37500000.0,37100000.0,8500000.0,52400000.0,43900000.0,1.412398921832884,1.41,0.068,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2025-03-31
OPERF::Alpine Investors IX,Alpine Investors IX,2022,200000000.0,60000000.0,300000.0,64600000.0,64300000.0,1.0766666666666667,1.08,,True,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,69200000.0,0.0,99700000.0,99700000.0,1.4407514450867052,1.44,0.183,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2025-03-31
OPERF::Apax IX,Apax IX,2016,250000000.0,264600000.00000003,334700000.0,509000000.0,174300000.0,1.9236583522297805,1.92,0.18,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Apax VIII USD,Apax VIII USD,2012,150400000.0,161600000.0,255300000.0,265000000.0,9700000.0,1.6398514851485149,1.64,0.126,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Apollo Investment Fund IX,Apollo Investment Fund IX,2018,480000000.0,461500000.0,636300000.0,636300000.0,0.0,1.3787648970747561,1.38,0.133,False,True,False,Oregon PERS OPERF,2025-03-31
OPERF::Apollo Investment Fund VI,Apollo Investment Fund VI,2006,200000000.0,257399999.99999997,385200000.0,388600000.0,3400000.0,1.50971250971251,1.51,0.086,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Apollo Investment Fund VII,Apollo Investment Fund VII,2008,400000000.0,488900000.0,855100000.0,855100000.0,0.0,1.7490284311720188,1.75,0.225,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Apollo Investment Fund VIII,Apollo Investment Fund VIII,2013,400000000.0,384900000.0,579400000.0,579400000.0,0.0,1.5053260587165498,1.51,0.109,False,True,False,Oregon PERS OPERF,2025-03-31
OPERF::Aquiline Financial Services Fund,Aquiline Financial Services Fund,2005,200000000.0,210900000.0,291800000.0,354700000.0,62900000.0,1.6818397344713134,1.68,0.07400000000000001,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Aquiline Financial Services Fund II,Aquiline Financial Services Fund II,2010,100000000.0,124300000.0,165800000.0,165800000.0,0.0,1.333869670152856,1.33,0.059000000000000004,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Aquiline Financial Services Fund III,Aquiline Financial Services Fund III,2015,100000000.0,128800000.00000001,282400000.0,300600000.0,18200000.0,2.333850931677018,2.33,0.301,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Aquiline Financial Services Fund IV,Aquiline Financial Services Fund IV,2019,200000000.0,202200000.0,53700000.0,297500000.0,243800000.0,1.4713155291790307,1.47,0.115,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Aquiline Financial Services Fund V,Aquiline Financial Services Fund V,2022,200000000.0,127700000.0,500000.0,148300000.0,147800000.0,1.1613155833985904,1.16,,True,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Aquiline Oregon Co-Investment Fund,Aquiline Oregon Co-Investment Fund,2019,50000000.0,51300000.0,26700000.0,100300000.0,73600000.0,1.9551656920077973,1.95,0.177,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Arsenal Capital Partners Growth,Arsenal Capital Partners Growth,2021,50000000.0,29800000.0,8100000.0,22600000.0,14500000.0,0.7583892617449665,0.76,-0.22699999999999998,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Arsenal Capital Partners VI,Arsenal Capital Partners VI,2021,150000000.0,105800000.0,24500000.0,87600000.0,63100000.0,0.8279773156899811,0.83,,True,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Asia Opportunity Fund II,Asia Opportunity Fund II,2005,100000000.0,121200000.0,172300000.0,172300000.0,0.0,1.4216171617161717,1.42,0.073,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Asia Opportunity Fund III,Asia Opportunity Fund III,2007,150000000.0,156500000.0,140600000.0,140600000.0,0.0,0.8984025559105431,0.9,-0.027999999999999997,False,True,False,Oregon PERS OPERF,2025-03-31
OPERF::Asia Pacific Trust,Asia Pacific Trust,1990,12800000.0,13500000.0,15900000.0,15900000.0,0.0,1.1777777777777778,1.18,0.026000000000000002,False,False,False,Oregon PERS OPERF,2025-03-31
OPERF::Aurora Equity Partners II,Aurora Equity Partners II,1998,50000000.0,55900000.0,78300000.0,78300000.0,0.0,1.4007155635062611,1.4,0.046,False,False,False,Oregon PERS OPERF,2025-03-31
