fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,135300000.0,167600000.0,32299999.999999996,2.222811671087533,2.22,0.256,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,109200000.0,2500000.0,162700000.0,160200000.0,1.48992673992674,1.49,0.146,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,186900000.0,134900000.0,361800000.0,226900000.0,1.9357945425361156,1.94,0.368,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,49900000.0,3800000.0,68000000.0,64200000.0,1.3627254509018036,1.36,,True,False,False,Oregon PERS OPERF,2024-09-30
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,119600000.0,75000000.0,193200000.0,118200000.0,1.6153846153846154,1.61,0.125,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,48000000.0,1800000.0,63300000.0,61500000.0,1.31875,1.32,0.08,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,52500000.0,0.0,64800000.0,64800000.0,1.2342857142857142,1.23,,True,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,93500000.0,18500000.0,151900000.0,133400000.0,1.6245989304812833,1.62,0.168,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,208800000.0,8000000.0,2.088,2.09,0.16399999999999998,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,81400000.0,87000000.0,5600000.0,1.8087318087318087,1.81,0.133,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,93500000.0,0.0,115900000.0,115900000.0,1.239572192513369,1.24,,True,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,64800000.0,124300000.0,59500000.0,1.7808022922636104,1.78,0.133,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,94500000.0,0.0,114900000.0,114900000.0,1.2158730158730158,1.22,0.10300000000000001,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::AEP IV OPERS Co-Investments,AEP IV OPERS Co-Investments,2018,37500000.0,37100000.0,8500000.0,55200000.0,46700000.0,1.4878706199460916,1.49,0.086,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2024-09-30
OPERF::Alpine Investors IX,Alpine Investors IX,2022,200000000.0,30200000.0,300000.0,31900000.0,31600000.0,1.0562913907284768,1.06,,True,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,63400000.0,0.0,90100000.0,90100000.0,1.4211356466876972,1.42,,True,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2024-09-30
OPERF::Apax IX,Apax IX,2016,250000000.0,264600000.00000003,331200000.0,513500000.0,182300000.0,1.940665154950869,1.94,0.188,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Apax VIII USD,Apax VIII USD,2012,150400000.0,161600000.0,255300000.0,269000000.0,13700000.0,1.6646039603960396,1.66,0.128,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Apollo Investment Fund IX,Apollo Investment Fund IX,2018,480000000.0,461500000.0,285000000.0,636300000.0,351300000.0,1.3787648970747561,1.38,0.14,False,True,False,Oregon PERS OPERF,2024-09-30
OPERF::Apollo Investment Fund VI,Apollo Investment Fund VI,2006,200000000.0,257399999.99999997,385200000.0,388600000.0,3400000.0,1.50971250971251,1.51,0.086,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Apollo Investment Fund VII,Apollo Investment Fund VII,2008,400000000.0,488900000.0,855100000.0,855100000.0,0.0,1.7490284311720188,1.75,0.225,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Apollo Investment Fund VIII,Apollo Investment Fund VIII,2013,400000000.0,384900000.0,579400000.0,579400000.0,0.0,1.5053260587165498,1.51,0.109,False,True,False,Oregon PERS OPERF,2024-09-30
OPERF::Aquiline Financial Services Fund,Aquiline Financial Services Fund,2005,200000000.0,210900000.0,291800000.0,357900000.0,66099999.99999999,1.69701280227596,1.7,0.075,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Aquiline Financial Services Fund II,Aquiline Financial Services Fund II,2010,100000000.0,121700000.0,138700000.0,164400000.0,25700000.0,1.3508627773212818,1.35,0.061,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Aquiline Financial Services Fund III,Aquiline Financial Services Fund III,2015,100000000.0,128800000.00000001,240800000.0,303500000.0,62700000.0,2.356366459627329,2.36,0.305,False,False,False,Oregon PERS OPERF,2024-09-30
OPERF::Aquiline Financial Services Fund IV,Aquiline Financial Services Fund IV,2019,200000000.0,194500000.0,28800000.0,270900000.0,242100000.0,1.39280205655527,1.39,0.10800000000000001,False,False,False,Oregon PERS OPERF,2024-09-30
