fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,141800000.0,161800000.0,20000000.0,2.145888594164456,2.15,0.24600000000000002,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,125000000.0,17200000.0,232100000.0,214900000.0,1.8568,1.86,0.165,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,187200000.0,246900000.0,399000000.0,152100000.0,2.1314102564102564,2.13,0.32,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,68700000.0,13000000.0,93100000.0,80100000.0,1.3551673944687046,1.36,0.12300000000000001,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,130699999.99999999,84900000.0,179000000.0,94100000.0,1.3695485845447593,1.37,0.076,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,50000000.0,13400000.0,65200000.0,51800000.0,1.304,1.3,0.057,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,70300000.0,700000.0,87300000.0,86600000.0,1.2418207681365576,1.24,0.083,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent Global Technology III,Advent Global Technology III,2025,100000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2026-03-31
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,96700000.0,38600000.0,143800000.0,105200000.0,1.4870734229576008,1.49,0.10099999999999999,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,207200000.0,6400000.0,2.072,2.07,0.163,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,83300000.0,86500000.0,3200000.0,1.7983367983367984,1.8,0.131,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,133600000.0,2100000.0,172200000.0,170100000.0,1.2889221556886228,1.29,0.134,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent International GPE XI SCSp,Advent International GPE XI SCSp,2025,250000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2026-03-31
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,86600000.0,127300000.0,40700000.0,1.82378223495702,1.82,0.122,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,111900000.0,22500000.0,131100000.0,108600000.0,1.1715817694369972,1.17,0.057999999999999996,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Advent Latin American Private Equity Fund VIII LP,Advent Latin American Private Equity Fund VIII LP,2025,150000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2026-03-31
OPERF::AEP IV OPERF Co-Investments,AEP IV OPERF Co-Investments,2018,37500000.0,37100000.0,16000000.0,49200000.0,33200000.000000004,1.326145552560647,1.33,0.049,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2026-03-31
OPERF::Alpine Investors IX,Alpine Investors IX,2023,200000000.0,85400000.0,300000.0,91000000.0,90700000.0,1.0655737704918034,1.07,,True,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,71800000.0,4500000.0,107400000.0,102900000.0,1.4958217270194987,1.5,0.141,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2026-03-31
OPERF::Apax IX,Apax IX,2016,250000000.0,264600000.00000003,473500000.0,473500000.0,0.0,1.7894935752078607,1.79,0.16,False,True,False,Oregon PERS OPERF,2026-03-31
OPERF::Apax VIII USD,Apax VIII USD,2012,150400000.0,161600000.0,255300000.0,262300000.0,7000000.0,1.6231435643564356,1.62,0.124,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Apollo Investment Fund IX,Apollo Investment Fund IX,2018,480000000.0,461500000.0,636300000.0,636300000.0,0.0,1.3787648970747561,1.38,0.133,False,True,False,Oregon PERS OPERF,2026-03-31
OPERF::Apollo Investment Fund VI,Apollo Investment Fund VI,2006,200000000.0,257399999.99999997,385200000.0,388600000.0,3400000.0,1.50971250971251,1.51,0.086,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Apollo Investment Fund VII,Apollo Investment Fund VII,2008,400000000.0,488900000.0,855100000.0,855100000.0,0.0,1.7490284311720188,1.75,0.225,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Apollo Investment Fund VIII,Apollo Investment Fund VIII,2013,400000000.0,384900000.0,579400000.0,579400000.0,0.0,1.5053260587165498,1.51,0.109,False,True,False,Oregon PERS OPERF,2026-03-31
OPERF::Aquiline Financial Services Fund,Aquiline Financial Services Fund,2005,200000000.0,210900000.0,291800000.0,357800000.0,66000000.0,1.6965386439070649,1.7,0.07400000000000001,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Aquiline Financial Services Fund II,Aquiline Financial Services Fund II,2010,100000000.0,124300000.0,165800000.0,165800000.0,0.0,1.333869670152856,1.33,0.059000000000000004,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Aquiline Financial Services Fund III,Aquiline Financial Services Fund III,2015,100000000.0,133199999.99999999,283600000.0,304500000.0,20900000.0,2.286036036036036,2.29,0.298,False,False,False,Oregon PERS OPERF,2026-03-31
OPERF::Aquiline Financial Services Fund IV,Aquiline Financial Services Fund IV,2019,200000000.0,212400000.0,124900000.0,335000000.0,210100000.0,1.5772128060263653,1.58,0.11699999999999999,False,False,False,Oregon PERS OPERF,2026-03-31
