fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,135300000.0,167700000.0,32400000.0,2.2241379310344827,2.22,0.254,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,121700000.0,2800000.0,170200000.0,167400000.0,1.3985209531635168,1.4,0.12300000000000001,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,187700000.0,145500000.0,373900000.0,228400000.0,1.9920085242408099,1.99,0.36,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,49900000.0,3800000.0,67300000.0,63500000.0,1.348697394789579,1.35,,True,False,False,Oregon PERS OPERF,2024-12-31
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,119600000.0,75000000.0,186800000.0,111800000.0,1.5618729096989967,1.56,0.113,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,48400000.0,6800000.0,65600000.0,58800000.0,1.3553719008264462,1.36,0.083,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,68000000.0,0.0,79600000.0,79600000.0,1.1705882352941177,1.17,,True,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,95500000.0,26600000.0,148900000.0,122300000.0,1.5591623036649214,1.56,0.145,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,208400000.0,7600000.0,2.084,2.08,0.163,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,81400000.0,86500000.0,5100000.0,1.7983367983367984,1.8,0.132,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,103500000.0,0.0,120500000.0,120500000.0,1.1642512077294687,1.16,,True,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,64800000.0,126100000.0,61300000.0,1.8065902578796562,1.81,0.132,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,100900000.0,22500000.0,117100000.0,94600000.0,1.1605550049554014,1.16,0.07400000000000001,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::AEP IV OPERF Co-Investments,AEP IV OPERF Co-Investments,2018,37500000.0,37100000.0,8500000.0,54700000.0,46200000.0,1.4743935309973046,1.47,0.08,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2024-12-31
OPERF::Alpine Investors IX,Alpine Investors IX,2022,200000000.0,47000000.0,300000.0,52100000.0,51800000.0,1.1085106382978724,1.11,,True,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,66099999.99999999,0.0,99400000.0,99400000.0,1.503782148260212,1.5,0.22399999999999998,False,False,False,Oregon PERS OPERF,2024-12-31
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2024-12-31
OPERF::Apax IX,Apax IX,2016,250000000.0,264600000.00000003,334700000.0,501100000.0,166400000.0,1.8938019652305365,1.89,0.18,False,False,False,Oregon PERS OPERF,2024-12-31
