fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,135300000.0,167800000.0,32500000.0,2.2254641909814326,2.23,0.257,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,109200000.0,2500000.0,146400000.0,143900000.0,1.3406593406593406,1.34,0.11699999999999999,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,167500000.0,130100000.0,339700000.0,209600000.0,2.0280597014925372,2.03,0.38799999999999996,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,49900000.0,3800000.0,67300000.0,63500000.0,1.348697394789579,1.35,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,119600000.0,54900000.0,196200000.0,141300000.0,1.640468227424749,1.64,0.134,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,48000000.0,1800000.0,61400000.0,59600000.0,1.2791666666666666,1.28,0.076,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,41500000.0,0.0,51400000.0,51400000.0,1.23855421686747,1.24,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,93500000.0,10000000.0,138300000.0,128300000.00000001,1.479144385026738,1.48,0.146,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,208600000.0,7800000.0,2.086,2.09,0.16399999999999998,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,81400000.0,86700000.0,5300000.0,1.8024948024948024,1.81,0.132,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,83000000.0,0.0,91600000.0,91600000.0,1.1036144578313254,1.1,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,64800000.0,121400000.0,56600000.0,1.7392550143266476,1.74,0.131,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,92600000.0,0.0,106400000.0,106400000.0,1.1490280777537798,1.15,0.081,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::AEP IV OPERS Co-Investments,AEP IV OPERS Co-Investments,2018,37500000.0,37100000.0,8500000.0,55400000.0,46900000.0,1.4932614555256065,1.49,0.091,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::Alpine Investors IX,Alpine Investors IX,2022,200000000.0,26900000.0,0.0,30700000.0,30700000.0,1.141263940520446,1.14,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,63400000.0,0.0,84700000.0,84700000.0,1.33596214511041,1.34,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::Apax IX,Apax IX,2016,250000000.0,264600000.00000003,311700000.0,505600000.0,193900000.0,1.9108087679516248,1.91,0.18899999999999997,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Apax VIII USD,Apax VIII USD,2012,150400000.0,161600000.0,255300000.0,269500000.0,14200000.0,1.6676980198019802,1.67,0.129,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Apollo Investment Fund IX,Apollo Investment Fund IX,2018,480000000.0,448600000.0,219600000.0,688500000.0,468900000.0,1.5347748551047704,1.53,0.192,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Apollo Investment Fund VI,Apollo Investment Fund VI,2006,200000000.0,257399999.99999997,385200000.0,388600000.0,3400000.0,1.50971250971251,1.51,0.086,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Apollo Investment Fund VII,Apollo Investment Fund VII,2008,400000000.0,488900000.0,855100000.0,855100000.0,0.0,1.7490284311720188,1.75,0.225,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Apollo Investment Fund VIII,Apollo Investment Fund VIII,2013,400000000.0,384900000.0,579400000.0,579400000.0,0.0,1.5053260587165498,1.51,0.109,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::Aquiline Financial Services Fund,Aquiline Financial Services Fund,2005,200000000.0,210900000.0,291800000.0,356600000.0,64800000.0,1.6908487434803223,1.69,0.075,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aquiline Financial Services Fund II,Aquiline Financial Services Fund II,2010,100000000.0,120700000.0,132000000.0,163700000.0,31700000.0,1.3562551781275891,1.36,0.062,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aquiline Financial Services Fund III,Aquiline Financial Services Fund III,2015,100000000.0,128800000.00000001,240800000.0,303000000.0,62200000.0,2.352484472049689,2.35,0.307,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aquiline Financial Services Fund IV,Aquiline Financial Services Fund IV,2019,200000000.0,194500000.0,28800000.0,262600000.0,233800000.0,1.35012853470437,1.35,0.105,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aquiline Financial Services Fund V,Aquiline Financial Services Fund V,2022,200000000.0,93500000.0,100000.0,97000000.0,96900000.0,1.0374331550802138,1.04,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aquiline Oregon Co-Investment Fund,Aquiline Oregon Co-Investment Fund,2019,50000000.0,50500000.0,3700000.0,90300000.0,86600000.0,1.7881188118811882,1.79,0.18,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Arsenal Capital Partners Growth,Arsenal Capital Partners Growth,2021,50000000.0,24200000.0,8000000.0,18400000.0,10400000.0,0.7603305785123967,0.76,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Arsenal Capital Partners VI,Arsenal Capital Partners VI,2021,150000000.0,81200000.0,22900000.0,67500000.0,44600000.0,0.8312807881773399,0.83,,True,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Asia Opportunity Fund II,Asia Opportunity Fund II,2005,100000000.0,121200000.0,172300000.0,172300000.0,0.0,1.4216171617161717,1.42,0.073,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Asia Opportunity Fund III,Asia Opportunity Fund III,2007,150000000.0,156500000.0,140600000.0,140600000.0,0.0,0.8984025559105431,0.9,-0.027999999999999997,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::Asia Pacific Trust,Asia Pacific Trust,1990,12800000.0,13500000.0,15900000.0,15900000.0,0.0,1.1777777777777778,1.18,0.026000000000000002,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aurora Equity Partners II,Aurora Equity Partners II,1998,50000000.0,55900000.0,78300000.0,78300000.0,0.0,1.4007155635062611,1.4,0.046,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aurora Equity Partners III,Aurora Equity Partners III,2004,50000000.0,52400000.0,86300000.0,86300000.0,0.0,1.6469465648854962,1.65,0.132,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Aurora Resurgence Fund,Aurora Resurgence Fund,2007,50000000.0,42700000.0,58600000.0,58600000.0,0.0,1.3723653395784543,1.37,0.16399999999999998,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::Austin Ventures X,Austin Ventures X,2008,50000000.0,49600000.0,81300000.0,81300000.0,0.0,1.6391129032258065,1.64,0.096,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::Avista Capital Partners II,Avista Capital Partners II,2008,100000000.0,132300000.00000001,211200000.0,211200000.0,0.0,1.5963718820861676,1.6,0.157,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::Avista Capital Partners III,Avista Capital Partners III,2011,100000000.0,113700000.0,113600000.0,113600000.0,0.0,0.9991204925241864,1.0,0.0,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::BCI Growth IV,BCI Growth IV,1996,50000000.0,53800000.0,36000000.0,36000000.0,0.0,0.6691449814126395,0.67,-0.067,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::BCI Growth V,BCI Growth V,1999,75000000.0,72900000.0,34500000.0,34500000.0,0.0,0.4732510288065844,0.47,-0.10800000000000001,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::BDCM Opportunity Fund,BDCM Opportunity Fund,2002,50000000.0,115200000.0,167800000.0,165600000.0,-2200000.0,1.4375,1.44,0.198,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::BDCM Opportunity Fund II,BDCM Opportunity Fund II,2005,100000000.0,150800000.0,413400000.0,422500000.0,9100000.0,2.8017241379310347,2.8,0.183,False,False,False,Oregon PERS OPERF,2024-06-30
OPERF::BDCM Opportunity Fund III,BDCM Opportunity Fund III,2011,100000000.0,146200000.0,190300000.0,190300000.0,0.0,1.301641586867305,1.3,0.057999999999999996,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::BDCM Opportunity Fund IV,BDCM Opportunity Fund IV,2015,200000000.0,258500000.0,272400000.0,272400000.0,0.0,1.053771760154739,1.05,0.021,False,True,False,Oregon PERS OPERF,2024-06-30
OPERF::Blackstone Capital Partners VI,Blackstone Capital Partners VI,2011,200000000.0,217900000.0,342800000.0,391700000.0,48900000.0,1.7976135842129417,1.8,0.122,False,False,False,Oregon PERS OPERF,2024-06-30
