fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,135300000.0,161700000.0,26400000.0,2.1445623342175066,2.14,0.24600000000000002,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,125000000.0,17200000.0,233100000.0,215900000.0,1.8648,1.87,0.17600000000000002,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,187200000.0,246900000.0,402500000.0,155600000.0,2.1501068376068377,2.15,0.331,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,68700000.0,13000000.0,91700000.0,78700000.0,1.3347889374090247,1.34,0.127,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,123100000.0,83800000.0,174800000.0,91000000.0,1.4199837530463038,1.42,0.08199999999999999,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,50000000.0,6800000.0,71600000.0,64800000.0,1.432,1.43,0.08199999999999999,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,68800000.0,0.0,90600000.0,90600000.0,1.316860465116279,1.32,0.115,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent Global Technology III,Advent Global Technology III,2025,100000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2025-12-31
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,95500000.0,35900000.0,152600000.0,116700000.0,1.5979057591623036,1.6,0.12300000000000001,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,207900000.0,7100000.0,2.079,2.08,0.163,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,83300000.0,86700000.0,3400000.0,1.8024948024948024,1.8,0.131,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,125000000.0,2100000.0,167700000.0,165600000.0,1.3416,1.34,0.166,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent International GPE XI SCSp,Advent International GPE XI SCSp,2025,250000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2025-12-31
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,72700000.0,130400000.0,57700000.0,1.8681948424068768,1.87,0.128,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,101800000.0,22500000.0,118800000.0,96300000.0,1.1669941060903732,1.17,0.055999999999999994,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Advent Latin American Private Equity Fund VIII LP,Advent Latin American Private Equity Fund VIII LP,2025,150000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2025-12-31
OPERF::AEP IV OPERF Co-Investments,AEP IV OPERF Co-Investments,2018,37500000.0,37100000.0,16000000.0,51100000.0,35100000.0,1.3773584905660377,1.38,0.057999999999999996,False,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2025-12-31
OPERF::Alpine Investors IX,Alpine Investors IX,2023,200000000.0,62500000.0,300000.0,69800000.0,69500000.0,1.1168,1.12,,True,False,False,Oregon PERS OPERF,2025-12-31
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,71800000.0,4500000.0,107800000.0,103300000.0,1.501392757660167,1.5,0.155,False,False,False,Oregon PERS OPERF,2025-12-31
