fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,135300000.0,163400000.0,28100000.0,2.1671087533156497,2.17,0.248,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,124800000.0,6700000.0,213400000.0,206700000.0,1.7099358974358974,1.71,0.161,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,187200000.0,246900000.0,400700000.0,153800000.0,2.140491452991453,2.14,0.33899999999999997,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,63400000.0,3800000.0,87000000.0,83200000.0,1.3722397476340693,1.37,,True,False,False,Oregon PERS OPERF,2025-09-30
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,123100000.0,83800000.0,175200000.0,91400000.0,1.4232331437855401,1.42,0.085,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,50000000.0,6800000.0,72600000.0,65800000.0,1.452,1.45,0.08900000000000001,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,68000000.0,0.0,92500000.0,92500000.0,1.3602941176470589,1.36,0.142,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent Global Technology III,Advent Global Technology III,2025,100000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2025-09-30
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,95500000.0,31000000.0,156300000.0,125300000.0,1.6366492146596858,1.64,0.136,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,208500000.0,7700000.0,2.085,2.09,0.163,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,82900000.0,87000000.0,4099999.9999999995,1.8087318087318087,1.81,0.132,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,109500000.0,0.0,151800000.0,151800000.0,1.3863013698630138,1.39,0.18899999999999997,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent International GPE XI SCSp,Advent International GPE XI SCSp,2025,250000000.0,0.0,0.0,0.0,0.0,,,,True,False,True,Oregon PERS OPERF,2025-09-30
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,72700000.0,124300000.0,51600000.0,1.7808022922636104,1.78,0.122,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,100900000.0,22500000.0,122000000.0,99500000.0,1.2091179385530229,1.21,0.073,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::AEP IV OPERF Co-Investments,AEP IV OPERF Co-Investments,2018,37500000.0,37100000.0,15000000.0,51700000.0,36700000.0,1.3935309973045822,1.39,0.062,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2025-09-30
OPERF::Alpine Investors IX,Alpine Investors IX,2023,200000000.0,62500000.0,300000.0,69300000.0,69000000.0,1.1088,1.11,,True,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,70600000.0,2200000.0,105900000.0,103700000.0,1.5,1.5,0.16699999999999998,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2025-09-30
OPERF::Apax IX,Apax IX,2016,250000000.0,264600000.00000003,385800000.0,473500000.0,87700000.0,1.7894935752078607,1.79,0.161,False,True,False,Oregon PERS OPERF,2025-09-30
OPERF::Apax VIII USD,Apax VIII USD,2012,150400000.0,161600000.0,255300000.0,262500000.0,7200000.0,1.624381188118812,1.62,0.124,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Apollo Investment Fund IX,Apollo Investment Fund IX,2018,480000000.0,461500000.0,636300000.0,636300000.0,0.0,1.3787648970747561,1.38,0.133,False,True,False,Oregon PERS OPERF,2025-09-30
OPERF::Apollo Investment Fund VI,Apollo Investment Fund VI,2006,200000000.0,257399999.99999997,385200000.0,388600000.0,3400000.0,1.50971250971251,1.51,0.086,False,False,False,Oregon PERS OPERF,2025-09-30
OPERF::Apollo Investment Fund VII,Apollo Investment Fund VII,2008,400000000.0,488900000.0,855100000.0,855100000.0,0.0,1.7490284311720188,1.75,0.225,False,False,False,Oregon PERS OPERF,2025-09-30
