fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,74400000.0,124800000.0,159600000.0,34800000.0,2.1451612903225805,2.14,0.266,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,77600000.0,1100000.0,80400000.0,79300000.0,1.0360824742268042,1.04,,True,False,False,Oregon PERS OPERF,2022-06-30
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,153400000.0,128000000.0,266400000.0,138400000.0,1.7366362451108215,1.74,,True,False,False,Oregon PERS OPERF,2022-06-30
OPERF::A&M Capital Partners III,A&M Capital Partners III,2022,200000000.0,0.0,0.0,3200000.0,3200000.0,,0.0,,True,False,True,Oregon PERS OPERF,2022-06-30
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,108300000.0,20400000.0,174200000.0,153800000.0,1.608494921514312,1.61,0.183,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,46800000.0,0.0,60700000.0,60700000.0,1.297008547008547,1.3,,True,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,22500000.0,0.0,20800000.0,20800000.0,0.9244444444444444,0.92,,True,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,69300000.0,8000000.0,129600000.0,121600000.0,1.87012987012987,1.87,,True,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,209900000.0,9100000.0,2.099,2.1,0.165,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,47600000.0,77200000.0,87600000.0,10400000.0,1.8403361344537814,1.84,0.139,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Advent International GPE X,Advent International GPE X,2022,250000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2022-06-30
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,36900000.0,116400000.0,79500000.0,1.667621776504298,1.67,0.16399999999999998,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2020,150000000.0,45000000.0,0.0,50100000.0,50100000.0,1.1133333333333333,1.11,,True,False,False,Oregon PERS OPERF,2022-06-30
OPERF::AEP IV OPERS Co‐Investments,AEP IV OPERS Co‐Investments,2016,37500000.0,36700000.0,900000.0,69900000.0,69000000.0,1.904632152588556,1.91,0.243,False,False,False,Oregon PERS OPERF,2022-06-30
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2022-06-30
