fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,74200000.0,85200000.0,155200000.0,70000000.0,2.091644204851752,2.09,0.271,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,47600000.0,1100000.0,53400000.0,52300000.0,1.1218487394957983,1.12,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,126600000.0,37500000.0,223100000.0,185600000.0,1.7622432859399684,1.76,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,95500000.0,10600000.0,143800000.0,133199999.99999999,1.505759162303665,1.51,0.18600000000000003,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,39100000.0,0.0,68400000.0,68400000.0,1.7493606138107416,1.75,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Advent Global Technology II,Advent Global Technology II,2021,95000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2021-09-30
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,49300000.0,8000000.0,148300000.0,140300000.0,3.0081135902636915,3.01,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,212200000.0,11400000.0,2.122,2.12,0.16699999999999998,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,47100000.0,64500000.0,92400000.0,27900000.0,1.9617834394904459,1.96,0.152,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,68600000.0,29600000.0,114100000.0,84500000.0,1.663265306122449,1.66,0.19,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2021,150000000.0,16500000.0,0.0,17500000.0,17500000.0,1.0606060606060606,1.06,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::AEP IV OPERS Co‐Investments,AEP IV OPERS Co‐Investments,2018,37500000.0,36700000.0,900000.0,63700000.0,62800000.0,1.7356948228882834,1.74,0.278,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2021-09-30
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::Apax IX,Apax IX,2016,250000000.0,250000000.0,146900000.0,622800000.0,475900000.0,2.4912,2.49,0.379,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Apax VIII USD,Apax VIII USD,2012,150400000.0,158800000.0,232800000.0,303600000.0,70800000.0,1.9118387909319898,1.91,0.161,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Apollo Investment Fund IX,Apollo Investment Fund IX,2018,480000000.0,282300000.0,48500000.0,356200000.0,307700000.0,1.2617782500885584,1.26,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Apollo Investment Fund VI,Apollo Investment Fund VI,2006,200000000.0,257399999.99999997,385200000.0,388900000.0,3700000.0,1.510878010878011,1.51,0.087,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Apollo Investment Fund VII,Apollo Investment Fund VII,2008,400000000.0,490100000.0,844700000.0,855300000.0,10600000.0,1.745154050193838,1.75,0.225,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Apollo Investment Fund VIII,Apollo Investment Fund VIII,2013,400000000.0,385000000.0,470200000.0,579500000.0,109300000.0,1.5051948051948052,1.51,0.113,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aquiline Financial Services Fund,Aquiline Financial Services Fund,2005,200000000.0,210900000.0,291800000.0,365500000.0,73700000.0,1.7330488383119962,1.73,0.08199999999999999,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aquiline Financial Services Fund II,Aquiline Financial Services Fund II,2010,100000000.0,120700000.0,131100000.0,176300000.0,45200000.0,1.4606462303231151,1.46,0.081,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aquiline Financial Services Fund III,Aquiline Financial Services Fund III,2015,100000000.0,123500000.0,121000000.0,254800000.0,133800000.00000001,2.0631578947368423,2.06,0.337,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aquiline Financial Services Fund IV,Aquiline Financial Services Fund IV,2019,200000000.0,138900000.0,0.0,154300000.0,154300000.0,1.1108711303095753,1.11,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aquiline Oregon Co‐Investment Fund,Aquiline Oregon Co‐Investment Fund,2019,50000000.0,50000000.0,0.0,64500000.0,64500000.0,1.29,1.29,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Arsenal Capital Partners Growth,Arsenal Capital Partners Growth,2021,50000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2021-09-30
OPERF::Arsenal Capital Partners VI,Arsenal Capital Partners VI,2021,150000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2021-09-30
OPERF::Asia Opportunity Fund II,Asia Opportunity Fund II,2005,100000000.0,121200000.0,172300000.0,172300000.0,0.0,1.4216171617161717,1.42,0.073,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Asia Opportunity Fund III,Asia Opportunity Fund III,2007,150000000.0,156500000.0,140600000.0,140600000.0,0.0,0.8984025559105431,0.9,0.027999999999999997,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::Asia Pacific Trust,Asia Pacific Trust,1990,12800000.0,13500000.0,15900000.0,15900000.0,0.0,1.1777777777777778,1.18,0.026000000000000002,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aurora Equity Partners II,Aurora Equity Partners II,1998,50000000.0,55900000.0,78300000.0,78300000.0,0.0,1.4007155635062611,1.4,0.046,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aurora Equity Partners III,Aurora Equity Partners III,2004,50000000.0,52400000.0,86300000.0,86300000.0,0.0,1.6469465648854962,1.65,0.132,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Aurora Resurgence Fund,Aurora Resurgence Fund,2007,50000000.0,42700000.0,58600000.0,58600000.0,0.0,1.3723653395784543,1.37,0.16399999999999998,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Austin Ventures X,Austin Ventures X,2008,50000000.0,49600000.0,81300000.0,81300000.0,0.0,1.6391129032258065,1.64,0.096,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::Avista Capital Partners II,Avista Capital Partners II,2008,100000000.0,132300000.00000001,211200000.0,211200000.0,0.0,1.5963718820861676,1.6,0.157,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::Avista Capital Partners III,Avista Capital Partners III,2011,100000000.0,113700000.0,113000000.0,113700000.0,700000.0,1.0,1.0,0.0,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::BCI Growth IV,BCI Growth IV,1996,50000000.0,53800000.0,36000000.0,36000000.0,0.0,0.6691449814126395,0.67,0.067,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::BCI Growth V,BCI Growth V,1999,75000000.0,72900000.0,34500000.0,34500000.0,0.0,0.4732510288065844,0.47,0.10800000000000001,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::BDCM Opportunity Fund,BDCM Opportunity Fund,2002,50000000.0,115200000.0,167800000.0,166500000.0,-1300000.0,1.4453125,1.45,0.198,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::BDCM Opportunity Fund II,BDCM Opportunity Fund II,2005,100000000.0,150800000.0,408300000.0,419500000.0,11200000.0,2.7818302387267906,2.78,0.184,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::BDCM Opportunity Fund III,BDCM Opportunity Fund III,2011,100000000.0,146200000.0,190300000.0,190300000.0,0.0,1.301641586867305,1.3,0.057999999999999996,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::BDCM Opportunity Fund IV,BDCM Opportunity Fund IV,2015,200000000.0,258500000.0,272400000.0,272400000.0,0.0,1.053771760154739,1.05,0.021,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::Blackstone Capital Partners VI,Blackstone Capital Partners VI,2011,200000000.0,216800000.0,262800000.0,373900000.0,111100000.0,1.724630996309963,1.72,0.126,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Blackstone Capital Partners VII,Blackstone Capital Partners VII,2016,450000000.0,462600000.0,174000000.0,753900000.0,579900000.0,1.6297016861219196,1.63,0.21600000000000003,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Blackstone Capital Partners VIII,Blackstone Capital Partners VIII,2020,500000000.0,158700000.0,5500000.0,196000000.0,190500000.0,1.2350346565847512,1.24,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Blackstone Energy Partners II,Blackstone Energy Partners II,2015,200000000.0,208400000.0,49200000.0,230800000.0,181600000.0,1.107485604606526,1.11,0.033,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Bridgepoint Europe VI,Bridgepoint Europe VI,2018,277300000.0,150800000.0,19900000.0,179200000.0,159300000.0,1.1883289124668435,1.19,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Bridgepoint Europe VI (Sidecar),Bridgepoint Europe VI (Sidecar),2019,69300000.0,38300000.0,0.0,47700000.0,47700000.0,1.2454308093994777,1.25,,True,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Cadence Bancorp LLC,Cadence Bancorp LLC,2010,100000000.0,92500000.0,178000000.0,178000000.0,0.0,1.9243243243243244,1.93,0.1,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Canterbury Mezzanine Capital,Canterbury Mezzanine Capital,1996,25000000.0,25000000.0,31900000.0,31900000.0,0.0,1.276,1.28,0.073,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Canterbury Mezzanine Capital II,Canterbury Mezzanine Capital II,1999,50000000.0,45600000.0,64099999.99999999,64099999.99999999,0.0,1.4057017543859647,1.4,0.115,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Capital International Private Equity Fund VI,Capital International Private Equity Fund VI,2011,100000000.0,106500000.0,48700000.0,117300000.0,68600000.0,1.1014084507042254,1.1,0.018000000000000002,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Castle Harlan Partners II,Castle Harlan Partners II,1992,50000000.0,64099999.99999999,107000000.0,107000000.0,0.0,1.669266770670827,1.67,0.271,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Castle Harlan Partners III,Castle Harlan Partners III,1997,100000000.0,125800000.0,131699999.99999999,131699999.99999999,0.0,1.046899841017488,1.05,0.013000000000000001,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Castle Harlan Partners IV,Castle Harlan Partners IV,2002,100000000.0,112100000.0,155300000.0,155300000.0,0.0,1.3853702051739518,1.38,0.14300000000000002,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::Castle Harlan Partners V,Castle Harlan Partners V,2008,100000000.0,92000000.0,106700000.0,106700000.0,0.0,1.1597826086956522,1.16,0.062,False,True,False,Oregon PERS OPERF,2021-09-30
OPERF::CDH Fund V,CDH Fund V,2013,100000000.0,114700000.0,86600000.0,183500000.0,96900000.0,1.5998256320836965,1.6,0.122,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Centerbridge Capital Partners,Centerbridge Capital Partners,2006,200000000.0,316900000.0,556800000.0,565300000.0,8500000.0,1.7838434837488166,1.78,0.192,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Centerbridge Capital Partners II,Centerbridge Capital Partners II,2011,100000000.0,147300000.0,107800000.0,125800000.0,18000000.0,0.8540393754243042,0.85,0.053,False,False,False,Oregon PERS OPERF,2021-09-30
OPERF::Centerbridge Capital Partners III,Centerbridge Capital Partners III,2015,135000000.0,168600000.0,119900000.0,264200000.0,144300000.0,1.5670225385527876,1.57,0.19699999999999998,False,False,False,Oregon PERS OPERF,2021-09-30
