fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.8,0.191,False,False,False,Oregon PERS OPERF,2021-03-31
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,2.06,0.172,False,False,False,Oregon PERS OPERF,2021-03-31
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,74200000.0,83900000.0,147200000.0,63300000.0,1.9838274932614555,2.2,0.271,False,False,False,Oregon PERS OPERF,2021-03-31
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,25500000.0,1100000.0,31400000.0,30300000.0,1.231372549019608,1.23,,True,False,False,Oregon PERS OPERF,2021-03-31
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,71300000.0,25100000.0,126900000.0,101800000.0,1.779803646563815,1.86,,True,False,False,Oregon PERS OPERF,2021-03-31
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,79200000.0,10600000.0,111000000.0,100400000.0,1.4015151515151516,1.46,0.161,False,False,False,Oregon PERS OPERF,2021-03-31
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,29000000.0,0.0,35400000.0,35400000.0,1.2206896551724138,1.22,,True,False,False,Oregon PERS OPERF,2021-03-31
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,42300000.0,3200000.0,69500000.0,66300000.0,1.6430260047281324,1.64,,True,False,False,Oregon PERS OPERF,2021-03-31
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,198000000.0,210800000.0,12800000.0,2.108,2.11,0.16699999999999998,False,False,False,Oregon PERS OPERF,2021-03-31
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,47100000.0,56400000.0,89900000.0,33500000.0,1.9087048832271762,1.91,0.152,False,False,False,Oregon PERS OPERF,2021-03-31
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,66200000.0,15000000.0,89700000.0,74700000.0,1.3549848942598188,1.36,0.129,False,False,False,Oregon PERS OPERF,2021-03-31
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2021,150000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2021-03-31
OPERF::AEP IV OPERS Co-Investments,AEP IV OPERS Co-Investments,2018,37500000.0,34800000.0,900000.0,54500000.0,53600000.0,1.5660919540229885,1.56,,True,False,False,Oregon PERS OPERF,2021-03-31
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2021-03-31
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,273600000.0,275400000.0,1800000.0,1.2478477571363842,1.27,0.043,False,True,False,Oregon PERS OPERF,2021-03-31
