fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,75400000.0,135300000.0,166500000.0,31200000.0,2.2082228116710874,2.21,0.259,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,109200000.0,2500000.0,146500000.0,144000000.0,1.3415750915750915,1.34,0.14400000000000002,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,167500000.0,130100000.0,341300000.0,211200000.0,2.0376119402985076,2.04,0.441,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,47400000.0,2100000.0,62600000.0,60500000.0,1.3206751054852321,1.32,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,119600000.0,54900000.0,192800000.0,137900000.0,1.6120401337792643,1.61,0.141,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent Global Technology,Advent Global Technology,2019,50000000.0,48000000.0,0.0,60500000.0,60500000.0,1.2604166666666667,1.26,0.084,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,37500000.0,0.0,48500000.0,48500000.0,1.2933333333333332,1.29,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent International GPE IX,Advent International GPE IX,2019,100000000.0,93500000.0,10000000.0,140600000.0,130600000.0,1.5037433155080213,1.5,0.182,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent International GPE VI A,Advent International GPE VI A,2008,100000000.0,100000000.0,200800000.0,208800000.0,8000000.0,2.088,2.09,0.16399999999999998,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent International GPE VII C,Advent International GPE VII C,2012,50000000.0,48100000.0,79700000.0,87300000.0,7600000.0,1.814968814968815,1.82,0.134,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent International GPE X,Advent International GPE X,2022,200000000.0,72000000.0,0.0,72100000.0,72100000.0,1.0013888888888889,1.0,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent Latin American Private Equity Fund VI C,Advent Latin American Private Equity Fund VI C,2015,75000000.0,69800000.0,42900000.0,125900000.0,83000000.0,1.8037249283667622,1.81,0.147,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Advent Latin American Private Equity Fund VII,Advent Latin American Private Equity Fund VII,2021,150000000.0,74600000.0,0.0,90300000.0,90300000.0,1.210455764075067,1.21,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::AEP IV OPERS Co‐Investments,AEP IV OPERS Co‐Investments,2018,37500000.0,37100000.0,8500000.0,64300000.0,55800000.0,1.733153638814016,1.73,0.138,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Affinity Asia Pacific Fund III,Affinity Asia Pacific Fund III,2006,100000000.0,95800000.0,133500000.0,133500000.0,0.0,1.3935281837160751,1.39,0.087,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Alpine Investors IX,Alpine Investors IX,2022,200000000.0,18800000.0,0.0,16800000.0,16800000.0,0.8936170212765957,0.9,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Alpine Investors VIII,Alpine Investors VIII,2021,100000000.0,58200000.0,0.0,77200000.0,77200000.0,1.3264604810996563,1.33,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Apax Europe VII,Apax Europe VII,2007,199500000.0,220700000.0,274100000.0,274100000.0,0.0,1.2419574082464884,1.24,0.042,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Apax IX,Apax IX,2016,250000000.0,264600000.00000003,311700000.0,523600000.0,211900000.0,1.9788359788359786,1.98,0.20600000000000002,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Apax VIII USD,Apax VIII USD,2012,150400000.0,161600000.0,255300000.0,279700000.0,24400000.0,1.7308168316831682,1.73,0.135,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Apollo Investment Fund IX,Apollo Investment Fund IX,2018,480000000.0,446600000.0,180200000.0,673100000.0,492900000.0,1.5071652485445588,1.51,0.213,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Apollo Investment Fund VI,Apollo Investment Fund VI,2006,200000000.0,257399999.99999997,385200000.0,388600000.0,3400000.0,1.50971250971251,1.51,0.086,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Apollo Investment Fund VII,Apollo Investment Fund VII,2008,400000000.0,488900000.0,852700000.0,855200000.0,2500000.0,1.7492329719779096,1.75,0.225,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Apollo Investment Fund VIII,Apollo Investment Fund VIII,2013,400000000.0,384900000.0,579400000.0,579400000.0,0.0,1.5053260587165498,1.51,0.109,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Aquiline Financial Services Fund,Aquiline Financial Services Fund,2005,200000000.0,210900000.0,291800000.0,352500000.0,60700000.0,1.6714082503556187,1.67,0.075,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aquiline Financial Services Fund II,Aquiline Financial Services Fund II,2010,100000000.0,120700000.0,132000000.0,176300000.0,44300000.0,1.4606462303231151,1.46,0.07400000000000001,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aquiline Financial Services Fund III,Aquiline Financial Services Fund III,2015,100000000.0,128500000.0,230100000.0,309700000.0,79600000.0,2.4101167315175096,2.41,0.318,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aquiline Financial Services Fund IV,Aquiline Financial Services Fund IV,2019,200000000.0,189500000.0,8600000.0,246400000.0,237800000.0,1.300263852242744,1.3,0.106,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aquiline Financial Services Fund V,Aquiline Financial Services Fund V,2022,200000000.0,77000000.0,0.0,74400000.0,74400000.0,0.9662337662337662,0.97,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aquiline Oregon Co‐Investment Fund,Aquiline Oregon Co‐Investment Fund,2019,50000000.0,50500000.0,3700000.0,87000000.0,83300000.0,1.7227722772277227,1.72,0.196,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Arsenal Capital Partners Growth,Arsenal Capital Partners Growth,2021,50000000.0,18800000.0,8000000.0,14100000.0,6100000.0,0.75,0.75,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Arsenal Capital Partners VI,Arsenal Capital Partners VI,2021,150000000.0,66900000.00000001,22900000.0,57200000.0,34300000.0,0.8550074738415545,0.85,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Asia Opportunity Fund II,Asia Opportunity Fund II,2005,100000000.0,121200000.0,172300000.0,172300000.0,0.0,1.4216171617161717,1.42,0.073,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Asia Opportunity Fund III,Asia Opportunity Fund III,2007,150000000.0,156500000.0,140600000.0,140600000.0,0.0,0.8984025559105431,0.9,0.027999999999999997,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Asia Pacific Trust,Asia Pacific Trust,1990,12800000.0,13500000.0,15900000.0,15900000.0,0.0,1.1777777777777778,1.18,0.026000000000000002,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aurora Equity Partners II,Aurora Equity Partners II,1998,50000000.0,55900000.0,78300000.0,78300000.0,0.0,1.4007155635062611,1.4,0.046,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aurora Equity Partners III,Aurora Equity Partners III,2004,50000000.0,52400000.0,86300000.0,86300000.0,0.0,1.6469465648854962,1.65,0.132,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Aurora Resurgence Fund,Aurora Resurgence Fund,2007,50000000.0,42700000.0,58600000.0,58600000.0,0.0,1.3723653395784543,1.37,0.16399999999999998,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Austin Ventures X,Austin Ventures X,2008,50000000.0,49600000.0,81300000.0,81300000.0,0.0,1.6391129032258065,1.64,0.096,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Avista Capital Partners II,Avista Capital Partners II,2008,100000000.0,132300000.00000001,211200000.0,211200000.0,0.0,1.5963718820861676,1.6,0.157,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Avista Capital Partners III,Avista Capital Partners III,2011,100000000.0,113700000.0,113600000.0,113600000.0,0.0,0.9991204925241864,1.0,0.0,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::BCI Growth IV,BCI Growth IV,1996,50000000.0,53800000.0,36000000.0,36000000.0,0.0,0.6691449814126395,0.67,0.067,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::BCI Growth V,BCI Growth V,1999,75000000.0,72900000.0,34500000.0,34500000.0,0.0,0.4732510288065844,0.47,0.10800000000000001,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::BDCM Opportunity Fund,BDCM Opportunity Fund,2002,50000000.0,115200000.0,167800000.0,166000000.0,-1800000.0,1.4409722222222223,1.44,0.198,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::BDCM Opportunity Fund II,BDCM Opportunity Fund II,2005,100000000.0,150800000.0,413400000.0,422400000.0,9000000.0,2.8010610079575597,2.8,0.183,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::BDCM Opportunity Fund III,BDCM Opportunity Fund III,2011,100000000.0,146200000.0,190300000.0,190300000.0,0.0,1.301641586867305,1.3,0.057999999999999996,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::BDCM Opportunity Fund IV,BDCM Opportunity Fund IV,2015,200000000.0,258500000.0,272400000.0,272400000.0,0.0,1.053771760154739,1.05,0.021,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Blackstone Capital Partners VI,Blackstone Capital Partners VI,2011,200000000.0,217700000.0,332600000.0,391700000.0,59100000.0,1.799265043638034,1.8,0.12300000000000001,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Blackstone Capital Partners VII,Blackstone Capital Partners VII,2016,450000000.0,475200000.0,339200000.0,764700000.0,425500000.0,1.6092171717171717,1.61,0.133,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Blackstone Capital Partners VIII,Blackstone Capital Partners VIII,2020,500000000.0,330300000.0,20800000.0,398600000.0,377800000.0,1.2067817135937027,1.21,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Blackstone Energy Partners II,Blackstone Energy Partners II,2015,200000000.0,211300000.0,147000000.0,304900000.0,157900000.0,1.4429720776147656,1.44,0.08199999999999999,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Bridgepoint Europe VI,Bridgepoint Europe VI,2018,277300000.0,245600000.0,22400000.0,355600000.0,333200000.0,1.4478827361563518,1.45,0.155,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Bridgepoint Europe VI (Sidecar),Bridgepoint Europe VI (Sidecar),2019,69300000.0,57600000.0,1600000.0,91800000.0,90200000.0,1.59375,1.59,0.165,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Cadence Bancorp LLC,Cadence Bancorp LLC,2010,100000000.0,92500000.0,178000000.0,178000000.0,0.0,1.9243243243243244,1.93,0.1,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Canterbury Mezzanine Capital,Canterbury Mezzanine Capital,1996,25000000.0,25000000.0,31900000.0,31900000.0,0.0,1.276,1.28,0.073,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Canterbury Mezzanine Capital II,Canterbury Mezzanine Capital II,1999,50000000.0,45600000.0,64099999.99999999,64099999.99999999,0.0,1.4057017543859647,1.4,0.115,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Capital International Private Equity Fund VI,Capital International Private Equity Fund VI,2011,100000000.0,110200000.0,95700000.0,104000000.0,8300000.000000001,0.9437386569872959,0.94,0.01,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Castle Harlan Partners II,Castle Harlan Partners II,1992,50000000.0,64099999.99999999,107000000.0,107000000.0,0.0,1.669266770670827,1.67,0.271,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Castle Harlan Partners III,Castle Harlan Partners III,1997,100000000.0,125800000.0,131699999.99999999,131699999.99999999,0.0,1.046899841017488,1.05,0.013000000000000001,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Castle Harlan Partners IV,Castle Harlan Partners IV,2002,100000000.0,112100000.0,155300000.0,155300000.0,0.0,1.3853702051739518,1.38,0.14300000000000002,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::Castle Harlan Partners V,Castle Harlan Partners V,2008,100000000.0,92000000.0,106700000.0,106700000.0,0.0,1.1597826086956522,1.16,0.062,False,True,False,Oregon PERS OPERF,2023-12-31
OPERF::CDH Fund V,CDH Fund V,2013,100000000.0,116400000.0,129800000.00000001,166100000.0,36300000.0,1.4269759450171822,1.43,0.08,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Centerbridge Capital Partners,Centerbridge Capital Partners,2006,200000000.0,316900000.0,556800000.0,563100000.0,6300000.0,1.7769012306721363,1.78,0.192,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Centerbridge Capital Partners II,Centerbridge Capital Partners II,2011,100000000.0,154300000.0,116100000.0,124500000.0,8400000.0,0.8068697342838627,0.81,0.075,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Centerbridge Capital Partners III,Centerbridge Capital Partners III,2015,135000000.0,180200000.0,171800000.0,301900000.0,130100000.0,1.6753607103218646,1.68,0.171,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Centerbridge Capital Partners IV,Centerbridge Capital Partners IV,2020,250000000.0,228900000.0,22600000.0,319200000.0,296600000.0,1.3944954128440368,1.39,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Centerbridge Capital Partners V,Centerbridge Capital Partners V,2023,250000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2023-12-31
OPERF::Centerbridge Special Credit Partners III,Centerbridge Special Credit Partners III,2016,150000000.0,183000000.0,214300000.0,241800000.0,27500000.0,1.321311475409836,1.32,0.098,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Centerbridge Special Credit Partners III ‐ Flex,Centerbridge Special Credit Partners III ‐ Flex,2020,350000000.0,409500000.0,206000000.0,558300000.0,352300000.0,1.3633699633699634,1.36,0.16399999999999998,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Clearlake Capital Partners VI,Clearlake Capital Partners VI,2020,150000000.0,156600000.0,23900000.0,262400000.0,238500000.0,1.6756066411238826,1.68,0.239,False,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Clearlake Capital Partners VII,Clearlake Capital Partners VII,2021,250000000.0,144600000.0,700000.0,162400000.0,161700000.0,1.1230982019363762,1.12,,True,False,False,Oregon PERS OPERF,2023-12-31
OPERF::Clearlake Capital Partners VIII,Clearlake Capital Partners VIII,2023,250000000.0,0.0,0.0,0.0,0.0,,0.0,,True,False,True,Oregon PERS OPERF,2023-12-31
OPERF::ClearVue OPERF,ClearVue OPERF,2019,100000000.0,102600000.0,3000000.0,141200000.0,138200000.0,1.3762183235867447,1.38,0.11800000000000001,False,False,False,Oregon PERS OPERF,2023-12-31
