fund_id,fund_name,vintage,commitment,contributions,distributions,total_value,nav,tvpi_reported,reported_multiple,net_irr,not_meaningful,sold_secondary,fully_uncalled,source,as_of
OPERF::VantagePoint Cleantech Partners II,VantagePoint Cleantech Partners II,2007,50000000.0,48800000.0,11500000.0,11500000.0,0.0,0.23565573770491804,0.24,-0.174,False,True,False,Oregon PERS OPERF,2023-06-30
OPERF::KSL Capital Partners II,KSL Capital Partners II,2005,100000000.0,119400000.0,223600000.0,223500000.0,-100000.0,1.8718592964824121,1.87,0.153,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::KSL Capital Partners III,KSL Capital Partners III,2011,100000000.0,115400000.0,114900000.0,146700000.0,31800000.0,1.2712305025996533,1.27,0.091,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::KSL Capital Partners IV,KSL Capital Partners IV,2015,150000000.0,158400000.0,135800000.0,269100000.0,133300000.00000001,1.6988636363636365,1.7,0.152,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::KSL Capital Partners Supplemental II,KSL Capital Partners Supplemental II,2009,50000000.0,21700000.0,47000000.0,47000000.0,0.0,2.165898617511521,2.16,0.248,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::KSL Capital Partners V,KSL Capital Partners V,2019,200000000.0,189700000.0,83700000.0,243000000.0,159300000.0,1.2809699525566685,1.28,0.17300000000000001,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::Roark Capital Partners IV,Roark Capital Partners IV,2016,100000000.0,90200000.0,22300000.0,139800000.0,117500000.0,1.5498891352549888,1.55,0.081,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::Roark Capital Partners V,Roark Capital Partners V,2018,250000000.0,230000000.0,51800000.0,367400000.0,315600000.0,1.597391304347826,1.6,0.17800000000000002,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::Roark Capital Partners VI,Roark Capital Partners VI,2021,250000000.0,83600000.0,3600000.0,103000000.0,99400000.0,1.2320574162679425,1.23,,True,False,False,Oregon PERS OPERF,2023-06-30
OPERF::ClearVue OPERF,ClearVue OPERF,2019,100000000.0,102600000.0,3000000.0,137900000.0,134900000.0,1.3440545808966862,1.34,0.132,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::ClearVue Partners III,ClearVue Partners III,2019,150000000.0,149700000.0,2500000.0,171800000.0,169300000.0,1.1476285905143622,1.15,0.05,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::KSL Capital Partners Credit Opportunities Fund,KSL Capital Partners Credit Opportunities Fund,2014,75000000.0,34100000.0,47100000.0,47100000.0,0.0,1.3812316715542523,1.38,0.14400000000000002,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::2000 Riverside Capital Appreciation Fund,2000 Riverside Capital Appreciation Fund,2000,50000000.0,45700000.0,80400000.0,80400000.0,0.0,1.7592997811816193,1.76,0.191,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::2003 Riverside Capital Appreciation Fund,2003 Riverside Capital Appreciation Fund,2003,75000000.0,80700000.0,157200000.0,157200000.0,0.0,1.9479553903345725,1.95,0.172,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::A&M Capital Partners,A&M Capital Partners,2012,100000000.0,74700000.0,125700000.0,163500000.0,37800000.0,2.1887550200803214,2.19,0.261,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::A&M Capital Partners Europe I,A&M Capital Partners Europe I,2018,151500000.0,92500000.0,2500000.0,120000000.0,117500000.0,1.2972972972972974,1.3,0.138,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::A&M Capital Partners II,A&M Capital Partners II,2018,200000000.0,167500000.0,130100000.0,336500000.0,206400000.0,2.008955223880597,2.01,0.501,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::A&M Capital Partners III,A&M Capital Partners III,2021,200000000.0,53900000.0,0.0,70500000.0,70500000.0,1.3079777365491652,1.31,,True,False,False,Oregon PERS OPERF,2023-06-30
OPERF::ACON Equity Partners IV,ACON Equity Partners IV,2016,112500000.0,118200000.0,53500000.0,187500000.0,134000000.0,1.5862944162436547,1.59,0.15,False,False,False,Oregon PERS OPERF,2023-06-30
OPERF::Advent Global Technology II,Advent Global Technology II,2021,100000000.0,36500000.0,0.0,44600000.0,44600000.0,1.2219178082191782,1.22,,True,False,False,Oregon PERS OPERF,2023-06-30
